r (Ang), PDF (RMC), PDF (Expt)
   3.4600000000000000       ,   0.15749275619501613       ,   0.12230145686487694     
   3.4800000000000000       ,    4.2382303617619244E-002  ,   0.11938318017787647     
   3.5000000000000000       ,    8.2883586762854636E-002  ,   0.10540176387699247     
   3.5200000000000000       ,    9.1971923791469623E-002  ,    8.6229222613704151E-002
   3.5400000000000000       ,   0.11830918750839582       ,    6.7649910844153324E-002
   3.5600000000000001       ,    2.4569673666642616E-002  ,    5.4130243188530644E-002
   3.5800000000000001       ,   -8.2853143920616039E-003  ,    4.8035051760586721E-002
   3.6000000000000001       ,   0.13455848794494904       ,    4.9413837798602568E-002
   3.6200000000000001       ,   0.11080613093976248       ,    5.6326208010405179E-002
   3.6400000000000001       ,    6.9378829396163411E-002  ,    6.5554927617986314E-002
   3.6600000000000001       ,    4.0169287140078759E-002  ,    7.3494124938323996E-002
   3.6800000000000002       ,    7.6294275199918993E-002  ,    7.7003812089601414E-002
   3.7000000000000002       ,    2.2566040074424018E-002  ,    7.4074396751352259E-002
   3.7200000000000002       ,    7.8199761081785987E-002  ,    6.4218890351319488E-002
   3.7400000000000002       ,    7.9283872030875099E-002  ,    4.8578348434583002E-002
   3.7600000000000002       ,   -4.6088313863345352E-002  ,    2.9769578897631589E-002
   3.7800000000000002       ,    3.1150119904728046E-002  ,    1.1519883147783971E-002
   3.8000000000000003       ,    2.2555417670687286E-004  ,   -1.8684115208367181E-003
   3.8200000000000003       ,    6.5234329698407173E-003  ,   -6.1837048990857919E-003
   3.8399999999999999       ,    1.0933155126825796E-002  ,    1.9497903204215030E-003
   3.8599999999999999       ,    1.8267760392462699E-002  ,    2.4328119018883439E-002
   3.8799999999999999       ,    6.1103969332127521E-002  ,    6.0544568396658310E-002
   3.8999999999999999       ,    9.2035002580329400E-002  ,   0.10763670618915777     
   3.9199999999999999       ,   0.15783056503293433       ,   0.16014936815398315     
   3.9399999999999999       ,   0.20873570926261500       ,   0.21070783978423632     
   3.9600000000000000       ,   0.20422346222199567       ,   0.25109516588794145     
   3.9800000000000000       ,   0.23061211987128616       ,   0.27369740644803814     
   4.0000000000000000       ,   0.32070537725394233       ,   0.27305541205822076     
   4.0200000000000005       ,   0.23815918587625845       ,   0.24718214332244923     
   4.0400000000000000       ,   0.23528936511909848       ,   0.19830446616488698     
   4.0600000000000005       ,   0.11572788983401811       ,   0.13278192789653825     
   4.0800000000000001       ,    7.9887426744082474E-002  ,    6.0129517850404920E-002
   4.0999999999999996       ,   -1.5955539147664219E-003  ,   -8.7122005207193078E-003
   4.1200000000000001       ,   -3.7835326766830851E-002  ,   -6.3514103867429145E-002
   4.1399999999999997       ,  -0.11450136448557188       ,   -9.6827256867657432E-002
   4.1600000000000001       ,   -3.4402563958544199E-002  ,  -0.10549255684404829     
   4.1799999999999997       ,   -7.2999045000088580E-002  ,   -9.1212538071994656E-002
   4.2000000000000002       ,   -7.2709240508557121E-002  ,   -6.0024054258542868E-002
   4.2199999999999998       ,   -4.3784368364723693E-002  ,   -2.0780293208859778E-002
   4.2400000000000002       ,    1.5676643018879735E-002  ,    1.6997761713271053E-002
   4.2599999999999998       ,    7.3115586454078937E-002  ,    4.5375062148040178E-002
   4.2800000000000002       ,    5.0086736089280548E-002  ,    5.9804098316118617E-002
   4.2999999999999998       ,    1.6103409482716061E-002  ,    6.0029920763178299E-002
   4.3200000000000003       ,    7.7275298959643607E-002  ,    4.9883904801798204E-002
   4.3399999999999999       ,   -5.4335405894760463E-002  ,    3.6038008664224394E-002
   4.3600000000000003       ,    4.5022527359553227E-002  ,    2.6058106265021391E-002
   4.3799999999999999       ,   0.11438161655257480       ,    2.6271062113223401E-002
   4.4000000000000004       ,   -4.2601338123085572E-002  ,    3.9999245373588836E-002
   4.4199999999999999       ,    9.9417317258746446E-002  ,    6.6609411890227538E-002
   4.4400000000000004       ,   0.11685336163305862       ,   0.10160126695260854     
   4.4600000000000000       ,    8.1777425980555124E-002  ,   0.13768614851451660     
